paper_id,domain,section_name,section_family,paragraph_index,label,label_source_rule,text,token_count,row_id,tsne_x,tsne_y
PMC13254229,biomedicine,CONCLUSION,conclusion,0,macro,macro_conclusion,"This in‐depth qualitative interview study provides the first detailed exploration of barriers to cervical, breast and bowel cancer screening among women with T2DM, living in England. Findings indicate that having diabetes can heighten commonly experienced barriers to cancer screening (e.g. travel‐related, logistical and scheduling barriers) and pose additional diabetes‐specific barriers to screening (e.g. diabetes‐related stigma and embarrassment). The accumulated high burden of illness and its treatment, due to diabetes and comorbidities, consumes personal resources, reducing available capacities (e.g. energy, time, money) to participate in cancer screening. Additionally, having diabetes can complicate taking part in screening tests (e.g. diabetes medication side effects include loose stools, which make bowel cancer tests more difficult to complete; T2DM‐related stigma and embarrassment can discourage attendance at mammograms). There is also underappreciation of the T2DM‐increased risk of breast and bowel cancer, and limited cancer screening promotion within diabetes care. We present the first comprehensive list of recommendations to improve cancer screening informed decision‐making and participation among people with T2DM.",163,1094,9.523803,-15.241678
PMC13282450,biomedicine,Introduction,introduction,0,macro,macro_intro_first2,"Ulcerative keratitis is a common presentation of ophthalmic disease in veterinary species in both general practice and in referral settings. The healthy corneal epithelium is highly protective against bacterial invasion and furthermore intrinsic anti‐bacterial mechanisms exist within the pre‐corneal tear film such as lysozyme, lactoferrin, and immunoglobulins. Despite these mechanisms, the ocular surface hosts a microbiological commensal flora, which has no clinical implication in healthy eyes. However, it has been demonstrated that the ocular microbiota may be altered in the presence of ocular surface disease, such as keratoconjunctivitis sicca, causing dysbiosis and allowing for opportunistic invasion, as well as promoting a more pathogenic flora such as coagulase‐positive  Staphylococcus aureus . Many of these ocular surface diseases also predispose to ulcerative keratitis, which could explain the high incidence of infected ulcerative keratitis when ocular co‐morbidities exist.",135,235,7.47719,4.190407
PMC13083544,biomedicine,Conclusion,conclusion,4,macro,macro_conclusion,"Overall, the study demonstrates that veganism among Australian men is not merely a dietary choice but a multifaceted identity negotiation. Health promotion efforts should consider the emotional, ethical, and social dimensions of dietary change, crafting messages that are culturally sensitive, value‐driven, and supportive of diverse pathways to wellbeing.",48,1129,14.411163,-31.555775
PMC13284531,biomedicine,Conclusions,conclusion,0,macro,macro_conclusion,"This workflow integrates species discovery, distributional mapping and data curation into a reproducible model for regional biodiversity observatories, supporting biogeographic and conservation analyses in complex insular systems. It demonstrates how metabarcoding libraries can update historical inventories, estimating species' ranges, genetic variation and haplotypes. Automation reduces time and effort, ensuring reproducibility and comparability across datasets. As metabarcoding data expand globally, such approaches will become central to documenting, analysing and sharing biodiversity. The study highlights how molecular workflows serve as infrastructure for evidence‐based conservation by linking species inventories with spatial and genetic data, strengthening regional biodiversity databases for planning and impact assessment. In the Canary Islands, integrating georeferenced records into BIOTA shows how molecular data aid species management and spatial prioritization. More broadly, highlighting soil arthropods in decision frameworks emphasizes their role in conservation, addressing biodiversity gaps and fostering inclusive policies.",139,476,15.345108,5.0227127
PMC13242705,biomedicine,Introduction,introduction,1,macro,macro_intro_first2,"In the United States (US), breastfeeding rates have improved from 2015 to 2022, but are far from meeting national and international guidelines: in 2022, 85.7% of infants were ever breastfed, 62.1% received any breast milk at 6 months, and 27.9% were exclusively breastfed through 6 months. Diaz et al. found even lower rates among younger mothers, non‐Hispanic Black mothers, those with less education, and Medicaid households. These findings emphasize the need for comprehensive lactation support, especially in marginalized and socioeconomically disadvantaged groups.",82,330,12.110695,-12.380196
PMC13238366,biomedicine,Introduction,introduction,1,macro,macro_intro_first2,"Among the studies investigating the health effects of RF exposure are those evaluating its impact on the autonomic nervous system (ANS) in humans. Although relatively few studies have addressed this topic, the available findings remain inconsistent. Some studies have reported significant RF‐induced changes in ANS‐related parameters (Esen and Esen ; Misek et al. ; Parizek et al. ) while others have found no observable effect (Braune S. et al. ; Selmaoui et al. ; Wallace et al. ). Variability in reported effects of RF exposure on autonomic nervous system outcomes likely reflects substantial methodological heterogeneity across studies, including differences in participant characteristics, exposure parameters, and experimental conditions (Michelant and Selmaoui ). Studies using autonomic challenges or more controlled stimuli appear to have subtle effects (Esen and Esen ); however, such challenges may themselves influence autonomic responses and therefore represent potential sources of bias. These considerations highlight the need for carefully designed experiments to accurately assess RF‐related modulation of autonomic function and evaluate their potential risks and ensure the safety of individuals exposed to these frequencies, especially with the expanding deployment of 5 G networks.",184,1188,4.5693293,-0.47784704
PMC13241701,biomedicine,Introduction,introduction,0,macro,macro_intro_first2,"The purpose of pre‐participation evaluation in sports is to detect and prevent abnormalities that may cause sudden death. It has been suggested that the sports‐related mortality rate varies between 0.5 and 13.5 per 100,000 (Germann and Perron ; Malhotra et al. ).",42,1140,10.317304,-5.333431
PMC13239679,biomedicine,Introduction,introduction,1,macro,macro_intro_first2,"Milk quality and adulteration represent major challenges within the Salale Zone's dairy sector. Practices such as water dilution and chemical adulteration undermine product safety, consumer confidence and market pricing (D. Tadesse et al.; H. Mekonnen and Haji). Economic fluctuations, including volatile milk prices and rising production costs, further constrain profitability. Climatic variability—manifested through erratic rainfall and temperature extremes—reduces forage availability and animal productivity (A. Tadesse; Mulugeta et al.). Moreover, the genetic potential of local breeds remains limited, restricting both milk yield and quality (Tesfaye; Tiruneh et al.). The economic viability of small‐scale dairying is also shaped by market inefficiencies, weak infrastructure and constrained market access (Kebede). Meanwhile, feed shortages, aggravated by land use change and climatic stress, continue to impede production (Beyene; M. M. Mekonnen and Hoekstra). Although policy interventions exist, they are often fragmented or poorly aligned with the needs of smallholder farmers (Meles; Seyoum and Wolde).",148,380,7.5378575,-2.592626
PMC13238423,biomedicine,Introduction,introduction,0,macro,macro_intro_first2,"Abdominal ultrasonography (AUS) is a widely used, noninvasive diagnostic tool for assessing pancreatic disease in dogs. However, AUS is highly operator‐dependent, and its interpretation is influenced by the examiner's experience and subjective judgment. Despite this, no studies have specifically evaluated the agreement of veterinary radiologists in interpreting the canine pancreas on ultrasound.",52,218,16.052353,1.298887
PMC13243978,biomedicine,Conclusion,conclusion,0,macro,macro_conclusion,"This paper has argued that the problem of self‐care within nursing discourse is not exhausted by its redistribution of responsibility; that much structural critique has already established. The more consequential transformation occurs when self‐care discourse is internalised: when subjects come to govern themselves in its terms, experiencing their own vulnerability as inadequacy and their need for care as personal failure.",60,1366,24.708843,-32.83672
