paper_id,domain,section_name,section_family,paragraph_index,label,label_source_rule,text,token_count,row_id,tsne_x,tsne_y
2001.00582,NLP,Conclusion,conclusion,0,macro,macro_conclusion,In this study we show that a glottal flow estimation algorithm BIBREF4 can be effectively used for voice quality analysis on large speech corpora where most of glottal flow estimation literature are based on tests with sustained vowels. We study the variations in parameters for different voice qualities and conclude that the two glottal flow parameters $F_g$ and $NAQ$ are highly informative for voice quality labeling. We further show that the information extracted from one speech database can be applied to other speech databases for voice quality modification and the quality achieved in a speech synthesis application is fairly high.,100,4633,-6.108092,-14.207184
1808.03430,NLP,Abstract,abstract,-1,macro,macro_abstract,"Traditional chatbots usually need a mass of human dialogue data, especially when using supervised machine learning method. Though they can easily deal with single-turn question answering, for multi-turn the performance is usually unsatisfactory. In this paper, we present Lingke, an information retrieval augmented chatbot which is able to answer questions based on given product introduction document and deal with multi-turn conversations. We will introduce a fine-grained pipeline processing to distill responses based on unstructured documents, and attentive sequential context-response matching for multi-turn conversations.",83,500,24.641104,15.621863
1912.01252,NLP,Introduction ::: Background,introduction,0,macro,macro_intro_first2,"Over the past two decades, the rise of social media and the digitization of news and discussion platforms have radically transformed how individuals and groups create, process and share news and information. As Alan Rusbridger, former-editor-in-chief of the newspaper The Guardian has it, these technologically-driven shifts in the ways people communicate, organize themselves and express their beliefs and opinions, have",60,187,15.577319,-24.881157
1804.05868,NLP,Introduction,introduction,0,macro,macro_intro_first2,"Code-switching (henceforth CS) is the juxtaposition, within the same speech utterance, of grammatical units such as words, phrases, and clauses belonging to two or more different languages BIBREF0 . The phenomenon is prevalent in multilingual societies where speakers share more than one language and is often prompted by multiple social factors BIBREF1 . Moreover, code-switching is mostly prominent in colloquial language use in daily conversations, both online and offline.",69,4533,5.0838723,-26.546015
2003.08370,NLP,Introduction,introduction,1,macro,macro_intro_first2,"One key reason is the absence of labeled training data required to train these systems. While manually labeled, gold-standard data is often only available in small quantities, it tends to be much easier to obtain large amounts of unlabeled text. Distant and weak supervision methods can then be used to create labeled data in a (semi-) automatic way. Using context BIBREF6, BIBREF7, external knowledge and resources BIBREF8, BIBREF9, expert rules BIBREF10, BIBREF11 or self-training BIBREF12, BIBREF13, a corpus or dataset can be labeled quickly and cheaply. Additionally, a variety of noise-handling methods have been proposed to circumvent the negative effects that errors in this automatic annotation might have on the performance of a machine learning classifier.",116,922,0.2673888,-19.128832
1911.07228,NLP,Conclusion,conclusion,2,macro,macro_conclusion,"The word at the begin of the sentence is capitalized, so, if the name of person is at this position, model will ignore them (no extraction). To improve this issue, we can use the POS feature together with BIO format (Inside, Outside, Beginning) BIBREF6 at the top layer (CRF).",49,3680,-11.496862,17.856604
1811.12889,NLP,Conclusion and Discussion,conclusion,2,macro,macro_conclusion,"While our investigation has been performed on a synthetic dataset, we believe that it is the real-world language understanding where our findings may be most relevant. It is possible to construct a synthetic dataset that is bias-free and that can only be solved if the model has understood the entirety of the dataset's language. It is, on the contrary, much harder to collect real-world datasets that do not permit highly dataset-specific solutions, as numerous dataset analysis papers of recent years have shown (see Section ""Related Work"" for a review). We believe that approaches that can generalize strongly from imperfect and biased data will likely be required, and our experiments can be seen as a simulation of such a scenario. We hope, therefore, that our findings will inform researchers working on language understanding and provide them with a useful intuition about what facilitates strong generalization and what is likely to inhibit it.",151,1154,-9.622089,-7.808265
1808.02022,NLP,Conclusion and Future Work,conclusion,0,macro,macro_conclusion,"In this paper, we presented the initial version of our framework for the real-time extraction of events. This framework is part of our project HeadEx for developing a knowledge graph of interlinked events. We presented the requirements for choosing a data model representing events and their arguments. We reviewed the existing data models which have been employed by the state-of-the-art applications. Furthermore, we outlined the required tasks for annotating events as well entities. Then, the interlinking strategies were discussed. As a proof-of-concept, we followed a case study of news headlines on Twitter. For our future agenda, we plan to develop the envisioned pipeline containing all the required tasks by either implementing new components or integrating the existing ones.",118,1778,10.658297,-13.230033
1703.08885,NLP,Conclusion and Future Work,conclusion,0,macro,macro_conclusion,"We have developed QA system using a two-step retrieval and comprehension approach. The comprehension step uses a mixture model to achieve state of the art performance on WikiMovies dataset, improving previous work by a significant margin.",36,4493,6.4474974,1.4748635
1909.11833,NLP,Conclusion,conclusion,0,macro,macro_conclusion,"In this paper, we propose a slot-independent neural model, SIM, to tackle the dialogue state tracking problem. Via incorporating better feature representations, SIM can effectively reduce the model complexity while still achieving superior or comparable results on various datasets, compared with previous models.",43,1845,3.7509272,21.581114
1911.07228,NLP,Introduction,introduction,0,macro,macro_intro_first2,"Named Entity Recognition (NER) is one of information extraction subtasks that is responsible for detecting entity elements from raw text and can determine the category in which the element belongs, these categories include the names of persons, organizations, locations, expressions of times, quantities, monetary values and percentages.",47,3592,22.310272,-4.797547
2004.02083,NLP,Abstract,abstract,-1,macro,macro_abstract,"We present the first resource focusing on the verbal inflectional morphology of San Juan Quiahije Chatino, a tonal mesoamerican language spoken in Mexico. We provide a collection of complete inflection tables of 198 lemmata, with morphological tags based on the UniMorph schema. We also provide baseline results on three core NLP tasks: morphological analysis, lemmatization, and morphological inflection.",58,565,-10.524034,-22.499588
