paper_id,domain,section_name,section_family,paragraph_index,label,label_source_rule,text,token_count,row_id,predicted_label,confidence,correct,probability_macro,probability_meso,probability_micro,example_type
PMC13278522,biomedicine,Introduction,introduction,0,macro,macro_intro_first2,"Alcohol consumption is associated with significant health risks, including increased likelihood of cancer, cardiovascular disease, liver damage, injuries and adverse pregnancy outcomes. Despite the well‐established health risks, alcohol remains widely consumed across the European Union (EU), with an average consumption of 10.8 L of pure alcohol per capita (adults 15+) in 2022 and 29% of the population engaging in heavy episodic drinking. Alcohol consumption caused 5.2% of all deaths among the EU population in 2019.",75,182,macro,0.99994504,True,0.99994504,6.308994e-06,4.862729e-05,high_confidence_correct
PMC13284531,biomedicine,Abstract,abstract,-1,macro,macro_abstract,"Persistent biodiversity data shortfalls undermine our capacity to detect species, map their distributions and characterize their spatial genetic structure, limiting robust biogeographic analyses and the development of effective conservation strategies. This particularly affects hyperdiverse invertebrate groups where hidden diversity remains largely undocumented. This study develops and demonstrates the potential of an integrated high‐throughput sequencing (HTS) framework to improve the representation of hidden diversity in regional species inventories and to help close critical gaps in our understanding of species distributions and genetic diversity from a conservation biogeography perspective. Focusing on the Canary Islands (Spain), the workflow combines megabarcoding of more than 4000 mesofauna specimens to generate a curated species‐level molecular reference library with community DNA metabarcoding of 168 soil samples. This approach enables consistent taxonomic assignment across insular landscapes and increases the spatial and genetic resolution of occurrence data. We identified 145 species of mites and springtails, including 49 species newly recorded for the archipelago and numerous genetically distinct lineages likely representing undescribed taxa, highlighting all the biodiversity that remains to be described. Integration of the barcode library with metabarcoding data produced 1440 species occurrences, revealing extensive distributional gaps, multiple range expansions and strong within‐island phylogeographic structuring, indicating prevalent diversification at fine spatial scales. These results highlight a deep, taxonomically broad underestimation of soil biodiversity and demonstrate that this integrative approach provides a transferable model for advancing the biogeography, evolutionary understanding and conservation of dark and cryptic taxa across broad taxonomic and conservation‐relevant contexts.",243,151,macro,0.99994314,True,0.99994314,2.2574864e-06,5.4589884e-05,high_confidence_correct
PMC13183359,biomedicine,Introduction,introduction,0,macro,macro_intro_first2,"Chronic kidney disease (CKD) is a major contributor to the global burden of noncommunicable diseases, affecting an estimated 850 million people worldwide and imposing substantial morbidity, mortality, and healthcare costs  . The burden is disproportionately concentrated in low- and lower-middle-income countries (LICs and LMICs), where access to early diagnosis, preventive strategies, and renal replacement therapies, including dialysis and transplantation, is limited  . Kidney transplantation is the most cost-effective treatment for end-stage renal disease (ESRD) and offers superior survival and quality of life compared with dialysis  . However, organ shortage results in prolonged waiting times and inequitable access  . Immunological barriers, particularly human leukocyte antigen (HLA) incompatibility and sensitization, further restrict access to transplantation  .",114,1267,macro,0.99989283,True,0.99989283,4.1591276e-05,6.56071e-05,high_confidence_correct
PMC13173394,biomedicine,Introduction,introduction,1,macro,macro_intro_first2,"For the characterization of synthetic polymers, analytical techniques such as gel permeation chromatography (GPC), nuclear magnetic resonance (NMR), Fourier transform infrared spectroscopy (FTIR), differential scanning calorimetry (DSC), and thermogravimetric analysis (TGA), as well as mass spectrometry (MS) have been commonly used.",41,603,meso,0.99999034,False,8.358278e-06,0.99999034,1.302863e-06,high_confidence_failure
PMC13080764,biomedicine,Conclusions,conclusion,0,macro,macro_conclusion,"In this paper, first, the suitable sample preparation conditions for edible insects were determined: to analyse insects killed by boiling instead of freezing, a sample weight of 5 mg, 6 h of enzymatic digestion and a sample‐to‐matrix ratio of 1:5.",40,848,meso,0.9998858,False,0.00011053244,0.9998858,3.668045e-06,high_confidence_failure
PMC13280649,biomedicine,Conclusions,conclusion,1,macro,macro_conclusion,"The fluorescence ThT assays indicate that both C16‐KTTKS and C16‐RTTRS self‐assemble at low concentrations, with the notable effect that substitution of lysine residues for arginine residues lowered the CAC across the pH range examined. The type of counterion also affected the CAC. Consistent with the cryo‐TEM and SAXS studies of self‐assembly, the CD data confirm pH‐dependent changes in secondary structure with disordered conformation for lipopeptides at pH 2 and C16‐RTTRS with acetate counterions for pH 2–7, consistent with micelle formation. The other samples (C16‐KTTKS at pH 4 or 7 with either counterion, C16‐RTTRS with TFA at pH 4 or 7) show β‐sheet signatures in CD, consistent with the formation of nanotape structures. The pH‐dependent self‐assembly and conformation opens the door for the use of these peptides as pH responsible systems of drug delivery, controlling the dissociation or aggregation of the sequences by pH. This is interesting considering the potential of the peptides in injury healing, since injury and tissues under inflammatory process often present lower pH compared with healthy tissue. Our identification of conditions for hydrogel formation of C16‐KTTKS at pH 7 may also be useful for cell culture and tissue engineering as well as slow‐release applications, with pH‐dependent release also possible. It is notable that C16‐RTTRS does not form hydrogels at the same conditions, and the difference may reflect the greater rigidity and/or bundling of nanotapes observed in cryo‐TEM images for C16‐KTTKS.",233,244,micro,0.9937909,False,0.0062003536,8.71869e-06,0.9937909,high_confidence_failure
PMC13279842,biomedicine,ICU‐Induced Muscle Weakness and Wasting,other,0,meso,meso_section_lead,"To investigate the negative impact of ICU treatment on skeletal muscle structure and function, we examined the TA muscle fibers, whose contractile properties and size have previously been characterized at the single muscle fiber level.",35,690,meso,1.0,True,6.2492025e-09,1.0,4.1895373e-08,high_confidence_correct
PMC13273447,biomedicine,Astrocytes Facilitate Glutamatergic Transmission Only When a Small Number of Synapses Are Activated,other,0,meso,meso_section_lead,"To investigate the role of astrocytes on excitatory transmission in the hippocampus of juvenile rats, a protocol of minimal stimulation was used to activate a single or a few fibers (Panatier et al.",33,1461,meso,0.9999999,True,1.551038e-08,0.9999999,1.7026416e-07,high_confidence_correct
PMC13277957,biomedicine,Analysis of the Spatial Relationships Between the Glenolabral/Capsulolabral Complex and Joint Socket,results,0,meso,meso_section_lead,"To assess the potential propagation of injuries from the glenohumeral ligaments or the biceps brachii tendon to the glenoid labrum (if present) and the articular cartilage, the spatial relationships between these structures were analysed.",34,64,meso,0.99999917,True,1.835261e-07,0.99999917,5.4146966e-07,high_confidence_correct
PMC13176648,biomedicine,Predominant Positive Feelings About the BFPS,other,0,meso,meso_section_lead,‘Yes I got used to her [BFPS] I found out that she was a good mother and I could comfortably share any information with her and she could advise me accordingly and get more explanation.’,35,8,micro,0.9915588,False,0.0009018576,0.007539404,0.9915588,high_confidence_failure
